Rank;Ticker;Company;Industry;Market cap ($M);
236;BLL;Ball;Packaging & Containers;29498;
237;DFS;Discover Financial;Credit Services;29441;
238;PXD;Pioneer Natural Resources;Oil & Gas E&P;29438;
239;WLTW;Willis Towers Watson;Insurance Brokers;29403;
240;PEG;Public Service Enterprise;Utilities – Diversified;29313;
241;AWK;American Water Works Co;Utilities – Regulated Water;29287;
242;ROK;Rockwell Automation;Specialty Industrial Machinery;29005;
243;SBAC;SBA Communications;REIT – Specialty;28815;
244;RSG;Republic Services;Waste Management;28805;
245;ETSY;Etsy;Internet Retail;28788;
246;DHI;D.R. Horton;Residential Construction;28787;
247;MCK;McKesson;Medical Distribution;28776;
248;ES;Eversource Energy;Utilities – Regulated Electric;28759;
249;DAL;Delta Air Lines;Airlines;28492;
250;MTD;Mettler-Toledo Intl;Diagnostics & Research;28335;
251;RMD;ResMed;Medical Instruments & Supplies;28242;
252;KEYS;Keysight Technologies;Scientific & Technical Instruments;28111;
253;FRC;First Republic Bank;Banks – Regional;28086;
254;WELL;Welltower;REIT – Healthcare Facilities;28035;
255;CPRT;Copart;Specialty Business Services;27896;
256;AME;AMETEK;Specialty Industrial Machinery;27890;
257;WMB;Williams Companies;Oil & Gas Midstream;27802;
258;SWK;Stanley Black & Decker;Tools & Accessories;27503;
259;OTIS;Otis Worldwide;Specialty Industrial Machinery;27365;
260;VLO;Valero Energy;Oil & Gas Refining & Marketing;27305;
261;SIVB;SVB Financial;Banks – Regional;27248;
262;LEN;Lennar;Residential Construction;26962;
263;FAST;Fastenal;Industrial Distribution;26935;
264;FTNT;Fortinet;Software – Infrastructure;26766;
265;AZO;AutoZone;Specialty Retail;26703;
266;STT;State Street;Asset Management;26648;
267;WY;Weyerhaeuser;REIT – Specialty;26042;
268;ZBRA;Zebra Technologies;Communication Equipment;25985;
269;MXIM;Maxim Integrated Products;Semiconductors;25773;
270;AMP;Ameriprise Financial;Asset Management;25717;
271;KR;Kroger;Grocery Stores;25626;
272;WEC;WEC Energy Gr;Utilities – Regulated Electric;25606;
273;HRL;Hormel Foods;Packaged Foods;25413;
274;GRMN;Garmin;Scientific & Technical Instruments;25334;
275;DLTR;Dollar Tree;Discount Stores;25317;
276;CCL;Carnival;Travel Services;25083;
277;EQR;Equity Residential;REIT – Residential;25007;
278;AVB;AvalonBay Communities;REIT – Residential;24928;
279;ODFL;Old Dominion Freight Line;Trucking;24661;
280;OXY;Occidental Petroleum;Oil & Gas E&P;24639;
281;ENPH;Enphase Energy;Solar;24444;
282;ANET;Arista Networks;Computer Hardware;24110;
283;BKR;Baker Hughes;Oil & Gas Equipment & Services;24048;
284;TSN;Tyson Foods;Farm Products;23956;
285;FITB;Fifth Third Bancorp;Banks – Regional;23855;
286;TER;Teradyne;Semiconductor Equipment & Materials;23852;
287;ED;Consolidated Edison;Utilities – Regulated Electric;23719;
288;CBRE;CBRE Group;Real Estate Services;23669;
289;NDAQ;Nasdaq;Financial Data & Stock Exchanges;23619;
290;FTV;Fortive;Scientific & Technical Instruments;23536;
291;DTE;DTE Energy;Utilities – Regulated Electric;23343;
292;ARE;Alexandria Real Estate;REIT – Office;23319;
293;MKC;McCormick & Co;Packaged Foods;23223;
294;CLX;Clorox;Household & Personal Products;23110;
295;O;Realty Income;REIT – Retail;23037;
296;LH;Laboratory Corp;Diagnostics & Research;23021;
297;AJG;Arthur J. Gallagher;Insurance Brokers;22796;
298;VRSN;VeriSign;Software – Infrastructure;22610;
299;FLT;Fleetcor Technologies;Information Technology Services;22584;
300;TTWO;Take-Two Interactive;Electronic Gaming & Multimedia;22536;
301;PAYC;Paycom Software;Software – Application;22475;
302;CERN;Cerner;Health Information Services;22303;
303;CDW;CDW;Information Technology Services;22295;
304;VTRS;Viatris;Drug Manufacturers – Specialty & Generic;22283;
305;SYF;Synchrony Finl;Credit Services;22128;
306;WST;West Pharmaceutical Servs;Medical Instruments & Supplies;21853;
307;EIX;Edison Intl;Utilities – Regulated Electric;21567;
308;PPL;PPL;Utilities – Regulated Electric;21541;
309;VMC;Vulcan Materials;Building Materials;21526;
310;HOLX;Hologic;Medical Instruments & Supplies;21495;
311;EXPE;Expedia Group;Travel Services;21268;
312;EFX;Equifax;Consulting Services;21265;
313;ABC;AmerisourceBergen;Medical Distribution;21159;
314;DISCK;Discovery;Entertainment;20982;
315;DISCA;Discovery;Entertainment;20913;
316;CTLT;Catalent;Drug Manufacturers – Specialty & Generic;20900;
317;URI;United Rentals;Rental & Leasing Services;20798;
318;NTRS;Northern Trust;Asset Management;20603;
319;OKE;ONEOK;Oil & Gas Midstream;20419;
320;MKTX;MarketAxess Holdings;Capital Markets;20405;
321;WDC;Western Digital;Computer Hardware;20403;
322;MLM;Martin Marietta Materials;Building Materials;20279;
323;QRVO;Qorvo;Semiconductors;20190;
324;CHD;Church & Dwight Co;Household & Personal Products;20037;
325;KMX;CarMax;Auto & Truck Dealerships;19887;
326;GWW;W.W. Grainger;Industrial Distribution;19837;
327;K;Kellogg;Packaged Foods;19543;
328;RF;Regions Financial;Banks – Regional;19419;
329;IP;International Paper;Packaging & Containers;19335;
330;KEY;KeyCorp;Banks – Regional;19309;
331;BIO;Bio-Rad Laboratories;Medical Devices;19279;
332;AES;AES;Utilities – Diversified;19228;
333;KSU;Kansas City Southern;Railroads;19181;
334;MTB;M&T Bank;Banks – Regional;19073;
335;TYL;Tyler Technologies;Software – Application;19022;
336;COO;Cooper Companies;Medical Instruments & Supplies;18991;
337;HES;Hess;Oil & Gas E&P;18961;
338;ALB;Albemarle;Specialty Chemicals;18917;
339;TSCO;Tractor Supply;Specialty Retail;18865;
340;VTR;Ventas;REIT – Healthcare Facilities;18851;
341;TFX;Teleflex;Medical Instruments & Supplies;18835;
342;TRMB;Trimble;Scientific & Technical Instruments;18805;
343;ETR;Entergy;Utilities – Diversified;18771;
344;FOX;Fox;Broadcasting;18755;
345;FOXA;Fox;Broadcasting;18737;
346;HPE;Hewlett Packard;Communication Equipment;18496;
347;ULTA;Ulta Beauty;Specialty Retail;18465;
348;HAL;Halliburton;Oil & Gas Equipment & Services;18305;
349;IR;Ingersoll Rand;Specialty Industrial Machinery;18196;
350;CFG;Citizens Financial Group;Banks – Regional;18144;
351;LYV;Live Nation Entertainment;Entertainment;18142;
352;ROL;Rollins;Personal Services;18111;
353;INCY;Incyte;Biotechnology;18055;
354;AEE;Ameren;Utilities – Regulated Electric;17961;
355;XYL;Xylem;Specialty Industrial Machinery;17838;
356;RCL;Royal Caribbean Group;Travel Services;17613;
357;AMCR;Amcor;Packaging & Containers;17571;
358;FE;FirstEnergy;Utilities – Diversified;17535;
359;WAT;Waters;Diagnostics & Research;17528;
360;MPWR;Monolithic Power Systems;Semiconductors;17495;
361;HIG;Hartford Finl Servs Gr;Insurance – Diversified;17485;
362;ESS;Essex Property Trust;REIT – Residential;17483;
363;DOV;Dover;Specialty Industrial Machinery;17474;
364;NUE;Nucor;Steel;17311;
365;MGM;MGM Resorts Intl;Resorts & Casinos;17282;
366;NVR;NVR;Residential Construction;17116;
367;DISH;DISH Network;Entertainment;16965;
368;BR;Broadridge Financial Soln;Information Technology Services;16934;
369;CTXS;Citrix Systems;Software – Application;16807;
370;STX;Seagate Technology;Computer Hardware;16803;
371;DRI;Darden Restaurants;Restaurants;16802;
372;CAG;Conagra Brands;Packaged Foods;16562;
373;DGX;Quest Diagnostics;Diagnostics & Research;16452;
374;PKI;PerkinElmer;Diagnostics & Research;16402;
375;PEAK;Healthpeak Properties;REIT – Healthcare Facilities;16240;
376;RJF;Raymond James Financial;Capital Markets;16177;
